ts,latency_ms,status,phase
1784435161.345,823.617,200,measure
1784435161.708,703.052,200,measure
1784435160.335,2174.155,200,measure
1784435161.049,1461.765,200,measure
1784435160.559,1965.006,200,measure
1784435161.74,960.398,200,measure
1784435161.242,1466.706,200,measure
1784435161.874,1026.86,200,measure
1784435162.524,597.797,200,measure
1784435162.411,792.714,200,measure
1784435162.7,506.245,200,measure
1784435162.708,592.387,200,measure
1784435163.206,162.606,200,measure
1784435162.901,599.363,200,measure
1784435163.301,253.425,200,measure
1784435163.501,253.747,200,measure
1784435163.754,86.833,200,measure
1784435163.554,308.228,200,measure
1784435162.169,1736.324,200,measure
1784435163.863,176.763,200,measure
1784435163.905,152.425,200,measure
1784435164.058,181.484,200,measure
1784435162.509,2092.165,200,measure
1784435163.122,1582.422,200,measure
1784435164.601,154.392,200,measure
1784435162.511,2387.326,200,measure
1784435164.755,143.89,200,measure
1784435164.704,235.339,200,measure
1784435164.94,159.218,200,measure
1784435164.899,257.44,200,measure
1784435163.204,1997.691,200,measure
1784435165.156,141.99,200,measure
1784435163.369,1939.775,200,measure
1784435165.201,152.115,200,measure
1784435165.309,209.025,200,measure
1784435165.518,153.168,200,measure
1784435165.671,149.07,200,measure
1784435164.039,1862.429,200,measure
1784435163.841,2067.554,200,measure
1784435164.239,1858.638,200,measure
1784435165.909,325.465,200,measure
1784435165.902,333.421,200,measure
1784435166.098,203.923,200,measure
1784435166.302,132.033,200,measure
1784435166.235,270.363,200,measure
1784435164.899,1701.664,200,measure
1784435165.099,1515.769,200,measure
1784435166.434,263.059,200,measure
1784435165.298,1401.801,200,measure
1784435166.601,234.798,200,measure
1784435166.836,105.141,200,measure
1784435165.353,1645.203,200,measure
1784435165.82,1370.264,200,measure
1784435166.7,537.968,200,measure
1784435166.697,555.681,200,measure
1784435166.999,366.034,200,measure
1784435166.234,1164.112,200,measure
1784435166.506,1094.978,200,measure
1784435166.615,1082.574,200,measure
1784435167.601,136.503,200,measure
1784435166.941,957.238,200,measure
1784435167.238,663.299,200,measure
1784435167.19,714.859,200,measure
1784435167.252,745.419,200,measure
1784435167.697,339.331,200,measure
1784435167.905,263.257,200,measure
1784435167.737,562.023,200,measure
1784435167.998,522.752,200,measure
1784435168.168,370.27,200,measure
1784435167.365,1332.131,200,measure
1784435168.697,148.934,200,measure
1784435168.521,342.182,200,measure
1784435168.539,328.439,200,measure
1784435167.398,1495.669,200,measure
1784435168.863,183.727,200,measure
1784435167.901,1200.488,200,measure
1784435167.898,1217.536,200,measure
1784435168.037,1161.68,200,measure
1784435168.867,369.261,200,measure
1784435169.116,283.481,200,measure
1784435168.299,1197.623,200,measure
1784435169.198,404.551,200,measure
1784435169.047,589.68,200,measure
1784435169.102,538.494,200,measure
1784435169.497,201.305,200,measure
1784435169.399,360.685,200,measure
1784435168.846,948.008,200,measure
1784435168.894,902.21,200,measure
1784435169.236,598.739,200,measure
